Food_Item,Category,Carbohydrates_g,Protein_g,Fat_g,Fiber_g,Calories
Raw Fruit & Nut Bar,Nut,51.43,8.57,15.43,8.57,394.3
Nakd Cacahuètes,Nut,42.0,12.0,23.0,9.3,442.0
Energy Nut Mix,Nut,30.9,20.3,28.3,10.0,471.0
Cashew Nuts Unsalted (Anacardos Sin Sal),Nut,20.0,21.0,50.0,8.4,628.0
Macadamia Nut Brittle,Nut,25.2,3.9,16.3,0.1,264.0
Pom'Potes Compotes Gourdes Bio Multivariétés 12X90G,Nut,11.0,0.5,0.5,1.1,52.0
Cacahuete Frito Con Sal,Nut,14.0,23.4,48.1,8.2,600.0
Low Sugar Granola Nuts & Seeds,Nut,48.5,13.4,25.5,8.0,469.8
Crunchy Nut & Almond,Nut,51.43,12.0,23.14,4.57,468.6
Purée D'Amandes Complètes Toastées,Nut,6.5,17.5,63.0,7.7,594.0
Pâte À Tartiner Choco-Noisettes Bio,Nut,25.2,12.4,56.6,6.9,674.0
La Croquante,Nut,8.2,25.0,51.0,12.0,616.0
Boisson À La Noisette,Nut,3.1,0.5,2.0,0.5,36.0
Organic Sprouted Pumpkin Seeds Sea Salt,Nut,3.0,8.0,15.0,2.0,600.0
Pom'Potes Compotes Gourdes Multivariétés 12X90G,Nut,12.0,0.5,0.5,1.4,55.0
Californian Pistachios Roasred & Salted,Nut,7.8,23.6,51.6,12.1,613.3
Roasted Cashew-Peanut-Mix Honey & Salt,Nut,43.2,14.7,32.4,5.0,533.0
Trancetto Cacao,Nut,56.0,5.3,13.0,0.0,369.0
Muesli Noix,Nut,61.0,10.0,15.0,9.5,438.0
Barres Extra Kellogg'S Choco Amandes - 4X32G,Nut,41.0,12.0,33.0,6.6,521.0
Nuts & Raisins Unsalted,Nut,37.0,16.0,31.0,0.0,505.0
Cashews Roasted & Salted,Nut,22.0,21.3,48.8,4.2,621.0
Marmite Crunch,Nut,53.0,15.0,18.0,7.9,441.0
Noix De Cajou Grillées,Nut,22.0,20.0,49.0,5.2,614.0
Quinoa Gourmand,Seed,65.0,14.0,4.1,7.6,361.7
Cerelac,Seed,71.2,15.0,10.0,2.5,439.8
Cassegrain - Lentilles Préparées 4/4,Seed,14.0,6.6,0.5,3.1,91.0
Lentilles Façon Petit Salé,Seed,17.0,8.0,2.3,7.2,135.0
Lentilles Vapeur,Seed,16.0,8.7,0.4,6.8,116.0
Red Kidney Beans,Seed,15.0,8.4,1.0,7.0,97.3
Chia Seeds,Seed,6.3,18.4,32.1,34.0,455.0
Puy Lentils & French Green Lentils,Seed,19.0,11.0,1.7,5.2,148.0
Organic Jumbo Oats,Seed,65.0,11.25,5.75,8.25,370.0
Son D'Avoine Bio,Seed,50.0,16.0,6.5,15.0,353.0
Allumettes Vege Haricots Rouges,Seed,7.33,13.07,6.0,5.07,145.3
Flocons D Avoine,Seed,59.4,13.5,7.6,9.1,378.0
Semillas De Chía,Seed,2.6,22.0,34.0,30.0,464.0
Pois Chiches Au Sel De Noirmoutier,Seed,16.0,6.6,2.9,7.4,130.0
Pipa Calabaza Natural,Seed,3.0,35.3,47.9,5.5,582.0
Sos De Soia,Seed,6.5,8.0,0.0,0.0,70.0
Chickpeas In Water,Seed,16.5,7.8,2.4,5.2,125.8
Fruit & Seed Oatcakes,Seed,60.0,9.6,15.2,9.6,440.0
Tomatoey French Lentils,Seed,16.0,8.3,4.1,3.3,142.0
Pumpkin Seed + Flax Granola,Seed,67.27,10.91,18.18,7.27,472.7
"Love, Corn (Sea Salt)",Seed,66.0,7.4,13.3,7.0,435.0
Mini Bites Quinoa & Chía,Seed,58.0,8.2,22.0,8.3,479.0
Ryvita Thins Multi-Seed,Seed,56.2,16.4,14.1,8.1,433.3
Lemon Blueberry Oat Boosts,Seed,46.0,6.0,21.0,16.0,426.7
Pumpkin Seed & Oat Crispbread,Seed,56.0,13.6,8.8,14.4,384.0
Mélange De Noix Et Pistaches,Seed,19.2,22.8,46.1,7.6,598.0
Seed Mix Mélange De Graines,Seed,5.7,24.8,53.6,0.0,618.0
Quinoa Real Blanca Y Roja,Seed,30.0,5.88,3.88,3.75,117.6
Sunflower Oil,Seed,0.0,0.0,92.0,0.0,828.0
Quinoa,Seed,58.0,15.0,6.8,7.6,365.0
Red & White Quinoa,Seed,31.0,5.8,3.2,4.0,184.0
Instant Noodles Mi Goreng,Seed,61.25,8.75,21.25,5.0,475.0
Ezekiel 4:9 Flourless Sprouted Grain Bread,Seed,15.0,4.0,0.5,3.0,235.3
Tomatoey Lentils,Seed,13.3,8.5,2.7,5.6,111.2
Haricots Blancs,Seed,15.0,6.6,0.8,5.4,104.0
Original Peanut Butter Stuffed Oat Bars,Seed,43.96,13.12,25.62,6.04,466.7
Beanz In A Rich Tomato Sauce,Seed,19.33,4.82,0.34,3.86,81.0
"Low Sugar Granola Whole Grain Oats, Almonds & Seeds",Seed,33.0,13.7,31.4,12.8,496.0
Milled Flaxseed,Seed,1.3,21.4,38.0,28.8,492.0
Apple & Raisin Oat Bar,Seed,59.3,5.6,17.4,4.9,400.0
Organic Bread Good Seed Thin-Sliced,Seed,46.43,14.29,5.36,10.71,250.0
French Inspired Lentils,Seed,14.5,7.2,2.4,5.2,119.0
Pom'Potes Compotes Gourdes Bio Pomme Nature 12X90G,Seed,12.0,0.5,0.5,1.1,53.0
Scandalous Seeds Wholemeal Loaf,Seed,29.3,13.2,9.0,8.2,269.0
Nut Granola Blueberry Cinnamon Sweet & Crunchy,Seed,30.0,13.33,50.0,23.33,533.3
Bio Crisp Bread Quinoa &Amp; Seeds,Seed,53.1,14.4,14.8,0.0,427.0
Pom'Potes Compotes Gourdes Pomme Nature 4X90G,Seed,12.0,0.5,0.6,1.2,55.0
Farmhouse Super Seeded Loaf,Seed,37.9,11.2,9.6,5.8,284.1
Seeded Bread,Seed,39.4,11.7,3.7,6.4,251.0
Moong Dal,Seed,50.66,21.31,20.93,7.52,476.0
Pom'Potes Compotes Gourdes Pomme Banane 4X90G,Seed,14.0,0.5,0.5,1.3,62.0
Avocado Oil Spray,Seed,0.0,0.0,0.5,0.0,5.0
Chickpeas Drained,Seed,23.4,7.2,2.2,7.4,126.0
Pufuleti,Seed,69.0,12.0,5.3,3.7,379.0
Moutard A L'Ancienne,Seed,8.0,8.42,11.5,0.0,169.2
Oats,Seed,67.5,12.5,7.5,10.0,375.0
Haldiram Moong Dal,Seed,50.66,21.31,20.93,7.52,476.0
Alesto Selection Pompoenpitten/ Graines De Courge,Seed,3.6,34.4,47.7,5.6,593.0
Lizis Original Granola Nuts And Seeds,Seed,55.2,11.6,21.4,8.7,477.0
Nuttzo Organic 7 Nut & Seed Butter Power Fuel Crunchy,Seed,24.24,18.18,45.45,9.09,562.5
Salad Topper,Seed,10.0,30.0,38.0,14.0,532.0
Organic Bread Good Seed,Seed,51.11,11.11,5.56,6.67,279.1
Pom'Potes Compotes Gourdes Bio Pomme Nature 4X90G,Seed,12.0,0.5,0.5,1.1,53.0
Graines De Courge,Seed,1.6,34.0,46.0,9.0,574.0
Préparation En Poudre Pour Crème Pâtissière Saveur Vanille,Pastry,85.0,0.4,0.6,0.0,356.0
Good Day - Cashew Cookies,Pastry,67.0,7.0,24.0,0.0,512.0
Nestle Dessert Cacao En Poudre Boîte 250G,Pastry,17.3,18.1,21.0,28.0,387.0
Pâte Feuilletée Sans Gluten,Pastry,39.0,1.9,20.0,2.3,340.0
Saladitas,Pastry,63.0,7.6,19.0,4.4,462.0
Devon Custard,Pastry,14.77,2.77,2.92,0.54,96.2
Puff Pastry Twist,Pastry,57.0,10.0,25.0,0.0,499.0
Pâte Brisée,Pastry,42.0,5.7,22.0,1.6,403.0
Pépites Chocolat Noir Bio,Pastry,54.0,6.6,29.0,8.4,520.0
Le Sfoglie Puff Pastry,Pastry,53.33,6.67,30.0,3.33,518.0
Amandes,Pastry,4.8,26.0,52.0,12.0,618.0
Pépites Chocolat Noir,Pastry,58.9,6.0,25.0,0.0,502.0
Chocolat Noir Intense,Pastry,30.0,8.9,40.0,12.0,543.0
Crème Pâtissière Goût Vanille,Pastry,26.0,2.8,1.3,0.1,129.0
Thick & Creamy Custard,Pastry,20.0,2.9,3.6,0.6,125.0
Mix For Pastry Cream And Custard,Pastry,87.0,0.4,0.7,0.1,357.0
Cheese Twists,Pastry,53.5,12.1,28.7,3.3,527.0
Mini-Gougères Au Fromage,Pastry,20.0,14.0,25.0,2.3,369.0
Amandes En Poudre 125G,Pastry,6.9,24.0,54.0,7.8,629.0
Ready Rolled Puff Pastry Sheet,Pastry,36.0,5.3,20.0,1.1,362.0
Masa Hojaldre,Pastry,37.0,2.5,20.0,4.0,354.0
Puff Pastry Sheet,Pastry,35.8,5.4,20.0,2.0,362.0
30 Mini-Feuilletés Saveur Du Soleil,Pastry,27.0,6.4,16.0,2.2,279.0
Flamed Baked Pizza Based,Pastry,46.82,9.27,8.09,2.18,301.8
Chlazené Listové Těsto,Pastry,35.0,6.2,24.0,1.1,396.0
Custard,Pastry,15.0,2.2,3.0,0.4,97.0
Golden Yorkshires,Pastry,39.0,5.1,12.0,1.2,287.0
Puff Pastry,Pastry,40.5,6.5,23.7,1.3,404.0
Masa Para Pizza,Pastry,48.0,8.2,2.4,1.3,268.0
Chaque Jour Pate Feuilleté,Pastry,37.0,2.5,20.0,3.9,346.0
Cornish Pasty Original,Pastry,23.5,6.5,15.3,2.5,263.0
Pumpkin Bread & Muffin Mix,Pastry,40.1,7.0,7.2,1.4,256.0
Ready Rolled Puff Pastry,Pastry,47.6,6.6,24.3,2.8,441.0
Vermicelles À Base De Haricot Mungo,Pastry,84.0,0.5,0.5,5.5,347.0
All Butter Pastry Mince Pies With Brandy & Port,Pastry,60.32,3.87,14.68,1.29,391.9
Protein-Packed Power Waffles Buttermilk & Vanilla,Pastry,34.21,15.79,14.47,3.95,328.9
Bouchées Feuilletées,Pastry,41.0,8.1,40.7,0.0,567.0
Light Devon Custard,Pastry,12.1,2.9,2.0,0.5,78.0
Pastry Dough With Apple And Cinnamon Filling,Pastry,50.4,7.2,8.2,1.3,312.0
Boni Vemicelles De Chocolat Au Lait,Pastry,69.0,6.2,17.0,3.6,460.0
Hagelslag Melk Twinkelz,Pastry,69.3,3.6,17.1,6.2,463.0
Almond Flour Pancake & Waffle Mix Original,Pastry,55.0,10.0,20.0,5.0,400.0
Flan Entremet Framboise,Pastry,15.0,3.2,1.5,0.1,86.0
Potax,Pastry,87.0,0.5,0.5,0.0,350.0
Gluten-Free Pancake Mix,Pastry,77.36,3.77,0.94,1.89,339.6
Twinkelz,Pastry,67.6,5.4,15.0,7.0,441.0
Buttermilk Complete Pancake Mix,Pastry,76.27,6.78,1.69,1.69,355.9
Thin & Crispy Pizza Bases,Pastry,50.5,7.6,1.0,3.0,247.0
Puff Pastry Twists,Pastry,51.0,12.0,29.0,3.3,515.0
All Steak Pie,Pastry,19.8,8.8,12.6,0.9,230.0
Dark Chocolate Style Baking Chips,Pastry,57.14,7.14,32.14,21.43,357.1
Cheddar & Onion Chutney Rolls,Pastry,30.8,9.6,19.9,2.0,346.0
Madagascan Vanilla Custard,Pastry,14.9,3.1,14.2,0.0,201.0
Vermicelles De Chocolat,Pastry,69.0,6.0,15.0,6.6,443.0
Vegan Chicken And Mushroom Pie,Pastry,23.2,7.4,14.3,1.7,254.0
Power Cakes Flapjack & Waffle Mix Chocolate Chip,Pastry,58.0,26.0,6.0,6.0,387.1
Power Cakes Flapjack & Waffle Mix Blueberry,Pastry,56.6,26.42,3.77,5.66,358.5
Mr Kipling Bramley Apple Pies 6Pk,Pastry,54.9,3.4,13.2,1.4,355.0
All Butter Puff Pastry,Pastry,29.8,5.7,28.9,4.8,412.0
Almond Flour Baking Mix Brownie,Pastry,56.52,8.7,26.09,8.7,434.8
Pop Tarts,Pastry,72.92,3.75,10.0,4.0,400.0
Deluxe Custard,Pastry,15.9,2.8,5.0,1.0,122.0
Fondant Caramel Au Beurre Salé,Pastry,52.5,4.0,18.5,0.0,394.0
Bouchées À La Reine,Pastry,21.0,7.5,20.0,1.5,297.0
Organic Classic Pancake & Waffle Mix,Pastry,72.5,10.0,0.0,2.5,350.0
Ready To Eat Custard,Pastry,16.7,2.5,3.0,0.5,105.0
Blätterteig,Pastry,35.0,6.2,24.0,1.1,396.0
Bouchée Hôtelière À Garnir,Pastry,39.0,6.0,43.0,2.3,572.0
Paniers Feuilletés Au Chèvre Épinard - 4X100G,Pastry,20.6,6.2,17.4,1.3,266.0
Préparation Pour Gâteau Bio Au Chocolat,Pastry,82.0,4.6,3.1,4.8,384.0
Amandes En Poudre,Pastry,5.3,26.0,55.0,9.0,633.0
Puff Pastry Block,Pastry,37.3,5.9,20.1,1.3,356.0
All Butter Pastry Twists,Pastry,57.0,12.0,23.0,3.4,490.0
Dinky Sausage Rolls,Pastry,27.3,10.4,26.1,1.4,389.0
Nappage Au Caramel,Pastry,77.0,0.0,0.0,0.5,315.0
Deluxe Custard West Country Cream,Pastry,15.9,2.8,5.0,1.0,122.0
Weikfield,Pastry,88.4,1.0,0.0,0.0,358.0
Pizza Bases,Pastry,49.9,8.1,8.9,2.8,318.0
Melkchocoladehagelslag,Pastry,72.0,5.7,15.0,0.0,450.0
Woodford Pizza Base,Pastry,46.1,10.6,2.6,3.3,257.0
Complete Pancake & Waffle Mix Buttermilk,Pastry,75.44,7.02,2.63,1.75,350.9
Mini-Choux Saveur Chèvre Et Poivre,Pastry,28.8,8.4,58.5,0.0,675.3
4 Paniers Deux Saumons,Pastry,23.0,8.9,15.0,0.5,263.0
Sausage Roll 100% British Pork,Pastry,21.8,9.3,26.8,1.6,369.0
Buttermilk Pancake Mix / Mélange À Crêpes Babeurre,Pastry,76.47,5.88,1.47,0.0,352.9
Power Flapjacks Buttermilk,Pastry,30.5,17.4,4.4,4.4,194.4
4 Vol-Au-Vent Feuilletés À Garnir,Pastry,40.5,7.0,39.9,0.0,552.0
Pur Beurre De Cacahuète,Fruit,12.0,27.0,51.0,6.5,628.0
Alvalle Gazpacho L'Original,Fruit,3.5,0.9,2.2,1.2,40.0
Jamila رايبي,Fruit,12.4,1.9,1.7,0.0,72.0
Biscuit Raisins,Fruit,68.0,8.3,14.0,5.1,441.0
"Muesli Raisin, Figue, Abricot",Fruit,59.0,11.0,5.8,10.0,352.0
Special Muesli 30% Fruits & Noix,Fruit,60.0,10.0,7.2,8.8,360.0
"Muesli Superfruits Raisins, Cassis, Cranberry, Myrtille",Fruit,60.0,12.0,6.0,10.0,358.6
Confiture De Fraise,Fruit,61.33,0.5,0.3,0.0,250.0
Amande Sans Sucres,Fruit,1.6,0.7,1.7,0.0,25.0
Confiture De Fraises 430 G,Fruit,63.0,0.5,0.5,0.5,256.0
Country Crisp 4 Noix,Fruit,58.0,11.0,20.0,6.1,465.0
Yaourt Grec Muesli,Fruit,16.1,3.3,7.0,0.0,140.0
Ratatouille Cuisinée À La Provençal,Fruit,5.7,1.3,4.1,3.4,72.0
Figolu,Fruit,71.9,4.69,8.12,3.12,400.0
Danino,Fruit,12.3,6.5,6.3,0.0,132.2
Aïn Soltane,Fruit,0.0,0.0,0.0,0.0,0.0
Danone Nature,Fruit,6.7,3.0,3.0,0.0,66.2
Yaourt Tendre,Fruit,14.3,4.2,5.0,0.0,119.0
Pom'Potes Compotes Gourdes Pomme Nature 1X90G,Fruit,12.0,0.5,0.6,1.3,57.0
"Muesli Bio 36% Fruits, Noix & Graines",Fruit,60.7,9.3,8.4,8.5,373.0
Tomato Ketchup,Fruit,23.2,1.2,0.1,0.0,102.0
Biscuit Soja Orange,Fruit,66.0,11.0,14.0,5.1,442.9
Basilico,Fruit,7.6,1.6,2.6,1.9,64.0
Lait D'Amande,Fruit,4.6,0.5,1.2,0.0,29.0
Carottes Rapees Citron Dnp 320G,Fruit,5.5,1.0,4.5,3.0,63.0
Country Crisp 4 Baies,Fruit,67.0,9.1,13.0,6.0,432.0
Press Up Jaouda Petit Orange,Fruit,8.7,0.1,0.0,0.2,37.0
برس اب الخوخ جودة 1لتر,Fruit,8.7,0.1,0.0,0.2,37.0
Délicia - Confiture D'Abricot,Fruit,67.36,0.41,0.12,0.0,272.0
Croustillant 3 Noix,Fruit,56.0,11.0,17.0,9.9,486.7
Barres De Fruits Secs & Noix Myrtilles,Fruit,56.0,6.6,11.0,9.5,374.3
33Cl Can Slim Tropical,Fruit,6.6,0.1,0.0,0.0,287.0
Shot De Gingembre Bio,Fruit,7.9,0.4,0.4,0.2,35.0
Muesli Croustillant Duo Pépites,Fruit,67.0,9.2,13.0,7.6,434.0
Ketchup 5 Ingrédients,Fruit,15.0,1.5,0.5,0.7,74.0
Petit Déj' Fruits Rouges À L'Épeautre,Fruit,64.0,8.7,17.0,6.6,457.0
Aubergines Cuisinées À La Provençal,Fruit,6.7,1.2,5.2,2.2,83.0
Nakd Cacahuètes - 140G (4X1P),Fruit,42.0,12.0,23.0,9.3,442.9
Muesli Aux Fruits,Fruit,60.0,11.0,6.0,10.0,358.3
Delicia Double Concentre De Tomates,Fruit,18.35,4.13,0.09,0.0,91.0
Press Up Moyen,Fruit,8.7,0.1,0.0,0.2,37.0
Cappy Pulpy,Fruit,9.0,0.0,0.0,0.0,37.0
Protein Caramel Salé Cacahuètes,Fruit,26.0,26.0,29.5,10.75,404.8
Double Zéro Cerise,Fruit,8.23,3.4,0.2,0.0,48.3
T&C Muesli Croustillant Avoine Amandes Sans Gluten,Fruit,66.0,9.0,15.0,6.9,447.0
Eat Natural Protéines,Fruit,31.6,21.6,30.3,6.9,447.5
Concentré De Tomates Aicha,Fruit,6.41,1.24,0.11,0.81,31.6
Crème De Marrons De L'Ardèche,Fruit,63.6,1.3,0.8,1.9,270.0
Muesli Protéines,Fruit,41.0,21.0,12.0,13.0,365.0
Beurre De Cacahuètes Crunchy,Fruit,12.0,29.0,46.0,8.4,595.0
Muesli Sans Sucres Ajoutés Raisin Figue Datte Abricot,Fruit,59.0,11.0,5.8,10.0,352.0
Aicha Tomato Paste,Fruit,23.7,4.6,0.4,3.0,117.0
Protéines Cacahuètes & Chocolat Noir,Fruit,33.4,19.5,36.3,5.9,500.0
Confiture De Fraise Intense,Fruit,39.0,0.5,0.1,1.6,162.0
Pago Ace - Orange - Carotte - Citron,Fruit,9.2,0.5,0.5,0.0,40.0
Confiture Extra De Fraises,Fruit,59.0,0.4,0.1,1.2,241.0
Boisson Noisette,Fruit,5.5,1.0,4.5,1.1,69.0
Muesli Bio Superfruits,Fruit,61.8,11.2,5.5,9.4,360.0
Raib Vani Jaouda,Fruit,13.0,3.0,2.0,2.0,81.0
Tomates Cerises,Fruit,2.49,0.86,0.26,1.2,19.3
Pérou Grand Cru Amazonas 70% Note De Fruits Rouges,Fruit,32.0,8.3,43.0,15.0,575.0
Beurre De Cacahuètes Du Nicaragua,Fruit,12.0,25.0,48.0,0.0,576.0
Orangina Et Sa Pulpe,Fruit,9.2,0.1,0.1,0.0,39.0
Confiture De Fraises Aicha,Fruit,59.8,0.0,0.3,1.5,239.0
Gehackte Tomaten In Tomatensaft,Fruit,3.0,1.3,0.1,1.1,20.0
Confiture Fraise Sans Sucre Ajoutes,Fruit,21.7,0.6,0.5,8.9,89.0
Schweppes Citron 1L,Fruit,4.5,0.0,0.0,0.0,19.2
Amora Ketchup Flacon Souple Tête En Bas 550G,Fruit,22.0,1.2,0.5,0.5,99.0
Courgettes À La Provençale 1/2,Fruit,7.3,1.7,2.5,2.1,63.0
Velouté Fraise,Fruit,14.7,2.3,3.0,0.0,94.7
Pim'S Orange,Fruit,66.0,3.3,13.0,2.5,397.0
عصري بناشي,Fruit,13.1,0.7,1.07,0.0,65.0
Compote Pomme Nature,Fruit,12.0,0.3,0.2,1.9,55.0
Yaourt Saveur Myrtille Sauvage,Fruit,13.1,3.5,2.6,0.0,90.4
Bol Bol Ketchup,Fruit,28.0,1.0,0.1,0.0,122.0
"Ketchup Zéro Sel Ajouré, 70% Moins De Sucres",Fruit,5.4,1.6,0.1,0.0,44.0
Double Concentré De Tomates,Fruit,24.0,4.6,0.4,3.0,123.0
Amora,Fruit,22.0,1.2,0.5,0.5,99.0
Orangensaft,Fruit,8.9,0.8,0.0,0.6,40.0
Pet 2L Oasis Tropical,Fruit,6.1,0.1,0.0,0.0,28.0
Double Concentre De Tomate,Fruit,23.7,4.6,0.4,3.0,117.0
Myrtille Intense,Fruit,39.0,0.5,0.2,1.8,163.0
Schweppes Agrum',Fruit,5.8,0.0,0.0,0.0,24.0
Margarine Patissière,Vegetable,2.0,0.0,73.0,0.0,657.0
Pasta Sauce,Vegetable,5.3,1.6,2.8,1.2,56.0
Carottes Rapees Citron Dnp 500G,Vegetable,5.5,1.0,4.5,3.0,14.6
Haricots Verts Extra-Fins 1/2,Vegetable,2.3,1.4,0.1,2.4,20.0
Taboule Oriental 300G,Vegetable,25.0,5.0,6.0,2.0,178.0
Mutti Solo Pomodoro Parma Passierte Italienische Tomaten,Vegetable,5.1,1.6,0.5,1.5,36.0
Pois Chiches Très Peu De Jus 1/2,Vegetable,15.0,6.0,2.2,7.7,119.0
Aicha Double Concentré De Tomates 140 G,Vegetable,23.7,4.6,0.4,3.0,117.0
Confiture De Myrtille 70%,Vegetable,40.0,0.5,0.5,3.7,173.0
Flageolets Préparés 1/2,Vegetable,13.0,6.5,0.8,6.2,98.0
Haricots Verts Extra-Fins 1/4,Vegetable,2.3,1.4,0.1,2.4,20.0
Vegan Bouillon Powder,Vegetable,30.6,9.6,8.4,0.0,241.0
Poêlée Méditerranéenne 750G,Vegetable,10.0,2.0,2.7,2.5,77.0
Poêlée Paysanne 750G,Vegetable,7.4,1.7,2.7,3.3,44.7
Sauce Tomate Napolitaine,Vegetable,5.1,1.4,2.9,0.0,59.0
Petits Pois Et Carottes 1/2,Vegetable,7.6,3.6,0.7,4.2,22.5
Tomato Passata,Vegetable,6.1,1.7,0.2,1.9,37.0
Confiture D'Abricots Extra Aïcha,Vegetable,63.0,0.0,0.0,1.0,251.0
Haricots Verts Extra-Fins 4/4,Vegetable,2.3,1.4,0.1,2.4,20.0
Lentil And Pea Cakes With Beetroot And Balsamic Flavour Seasoning,Vegetable,51.0,25.0,12.0,6.0,400.0
Assaisonnement Aromatise Au Citron,Vegetable,0.14,0.0,0.0,0.0,1.1
Epinards Hachés À La Crème,Vegetable,5.3,3.5,4.4,1.7,78.0
Coconut Water,Vegetable,4.5,0.0,0.0,0.0,18.0
Tomatenpulp In Stukjes,Vegetable,3.9,1.2,0.2,0.0,25.0
Pom'Potes Bio - Pomme Bio,Vegetable,12.0,0.5,0.6,1.3,61.0
Haricots Rouges Très Peu De Jus 1/2,Vegetable,14.0,7.7,0.6,8.0,108.0
Petits Pois & Carottes,Vegetable,7.6,3.6,0.7,4.2,59.0
Bertolli,Vegetable,0.5,0.5,59.0,0.0,531.0
La Poêlée Rustique 750G,Vegetable,15.0,2.4,2.9,2.0,100.0
Les Classiques - Velouté De 9 Légumes,Vegetable,5.6,0.6,0.6,0.9,32.0
Bebida De Soja 0% Azúcares,Vegetable,0.8,2.8,1.6,0.4,32.0
Vita Coco,Vegetable,0.05,0.0,60.0,0.0,540.0
Épinards Branches À La Crème,Vegetable,5.8,3.5,3.1,1.6,68.0
Velouté De Potiron & Carottes Bio,Vegetable,4.2,0.6,0.7,1.3,28.0
Vegan Spread,Vegetable,0.5,0.5,70.0,0.0,632.0
Courgettes À La Provençale 1/4,Vegetable,5.5,1.8,3.4,1.3,62.0
Maille Mini Cornichons Petits Croquants Bocal 210G,Vegetable,2.0,0.6,0.5,0.5,13.0
Couscous Légumes Du Soleil,Vegetable,24.0,4.0,3.3,2.8,147.0
Pom'Potes (Pomme/Poire),Vegetable,12.0,0.5,0.5,1.6,57.8
Margarina 100% Vegetal,Vegetable,0.5,0.5,60.0,0.0,540.0
Amora Croq'Vert Cornichons Extra-Fins Bocal 370G,Vegetable,2.2,0.7,0.5,2.7,14.0
Oranges Clémentines Citrons Sans Sucres Ajoutés,Vegetable,20.4,0.8,0.5,18.1,84.0
Strawberry Conserve,Vegetable,59.0,0.4,0.1,1.2,241.0
La Poêlée Champêtre 950G,Vegetable,5.5,2.6,0.4,4.3,45.0
Girasoli Potiron & Petits Oignons Grillés Plaisir Du Primeux,Vegetable,32.0,8.8,7.8,6.8,247.0
Miel Pops,Honey,85.0,5.2,1.5,4.6,384.0
Honey,Honey,80.0,0.0,0.0,0.0,320.0
Crunchy Oats & Honey,Honey,64.3,8.7,18.1,6.4,466.7
Nature Valley Crunchy Oats & Honey,Honey,64.3,8.7,18.1,6.4,467.0
Miel L'Apiculteur Montagne,Honey,75.1,0.38,0.0,0.0,302.0
Miel De Flores,Honey,83.0,0.5,0.0,0.0,333.0
Clear Honey,Honey,82.4,0.3,0.0,0.2,400.0
Oats 'N Honey Granola Bars,Honey,69.05,7.14,16.67,4.76,452.4
Miel Liquide,Honey,75.1,0.4,0.1,0.1,302.0
Simply Granola With A Hint Of Honey,Honey,66.0,11.0,11.0,6.3,417.8
Simply Crunchy Honey Baked Granola,Honey,65.9,10.9,10.9,6.3,430.0
The Honey Soaked Seeded Bloomer,Honey,40.6,9.8,4.8,6.8,256.0
Organic Honey,Honey,81.5,0.5,0.5,0.5,331.7
Nestle Fitness Honey Flavour Fiber Cerealien,Honey,63.4,10.1,4.0,17.8,350.0
Cretan Blossom Honey,Honey,80.95,0.0,0.0,0.0,333.3
Toblerone White,Honey,62.0,6.1,29.0,0.2,537.0
Nature Valley Crunchy Oats And Honey,Honey,71.0,8.6,18.0,6.4,467.0
Miel Squeezer,Honey,80.0,0.0,0.0,0.0,512.0
Organic Raw & Unfiltered Honey,Honey,80.95,0.0,0.0,0.0,285.7
Oz Miel,Honey,82.0,6.6,1.8,4.9,381.0
Blossom Honey,Honey,76.0,0.5,0.5,0.5,307.0
Gaufres Fourrage Au Miel - Bio,Honey,65.5,4.8,19.7,2.3,463.0
Ricola Douceur De Miel,Honey,96.0,0.0,0.0,0.0,386.0
Nestle Fitness Honey Flavour Fiber Bar Multipack (,Honey,45.6,9.5,1.9,26.9,326.0
Honey Wheat Bread,Honey,53.85,11.54,1.92,3.85,250.0
Runny Honey,Honey,88.0,0.0,0.67,0.67,359.0
Honey Granola,Honey,49.2,13.1,26.67,7.0,494.0
Honey & Salt Cashew Mix,Honey,43.2,14.7,32.4,0.0,539.0
Elephant Squeezed Pretzels Honey Mustard & Onion,Honey,70.0,8.9,14.0,0.0,445.0
Pretzels Honey Mustard & Onion,Honey,70.0,8.9,14.0,0.0,445.0
Honey Maid Grahams,Honey,80.0,6.67,10.0,3.33,433.3
Breakfast Honey & Nut With Choc Chips,Honey,65.0,7.7,15.0,7.6,446.7
Miel De Naranjo,Honey,83.0,0.4,0.0,0.0,333.0
Moutarde Au Miel Pot,Honey,35.0,4.2,6.4,3.2,226.0
Squeezy Honey,Honey,81.9,0.1,0.2,0.0,330.0
Greek Style Honey,Honey,13.7,4.1,7.8,0.0,134.0
"Simply Granola Oats, Honey, Raisins & Almonds",Honey,75.0,10.29,10.29,10.29,314.0
Mops Miel,Honey,88.0,5.4,1.0,2.5,386.0
Honey & Nut Shredded Wheat,Honey,68.0,12.0,5.4,9.8,380.0
Tesco Honey & Almond Granola,Honey,64.3,11.4,12.3,6.5,427.0
Honey Roast Crunch,Honey,63.0,11.0,15.0,8.8,450.0
Manuka Honey,Honey,86.9,0.1,0.1,0.5,350.0
Honey Balls,Honey,79.0,7.0,2.0,6.0,374.0
Al Janoub Honey,Honey,81.0,0.47,0.47,0.0,305.6
Serrano Cholli & Yucatan Honey,Honey,57.2,7.4,23.5,7.8,486.0
Oats & Honey With Toasted Coconut,Honey,70.0,6.67,8.33,6.67,384.6
Golden Puffs,Honey,78.3,9.9,1.7,5.8,380.0
